Name,Duration,Compatibility,Dependencies
Concept,1,Programmer,-
Environmental Design,1,Programmer,-
Character Design,1,Programmer,-
Level Design,1,Programmer,-
Music Aligment,1,Programmer,-
Music Late Motifs,1,Programmer,-
Combat Programming,1,Programmer,-
World Programming,1,Programmer,-
Inventory Programming,1,Programmer,-
Music Testing,1,Programmer,-
Programming Testing,1,Designer,-
Design Testing,1,Designer,-
Legal Preparation,1,Designer,-
Copyright Research,1,Designer,-
Patent Infrigement,1,Designer,-
IP Registration,1,Designer,-
Competition,1,Designer,-
Advertisements,1,Designer,-
Influencer Contracts,1,Designer,-
IRPF Management,1,Designer,-
